Model,MAE,RMSE,WAPE,MAPE,R2,Time (s)
XGBoost (Base),0.26667800087309007,0.38053248730331896,0.11836044408941385,13.419300013737608,0.8584967255592346,0.49
CatBoost (Base),0.2734467620710731,0.3891886032184616,0.12136464211791494,13.727003959294958,0.8519858687685125,5.49
RandomForest (Base),0.23439002115229732,0.3715471131327787,0.10402997942892205,11.058289926568508,0.8651003774167068,78.02
CatBoost (Tuned),0.20971168931484918,0.30934646668082283,0.09307692630503617,10.390176882055883,0.9064867239346119,0.02
RandomForest (Tuned),0.23298975566080007,0.36972139643770857,0.10340849567479568,10.987380764111332,0.8664228658732831,6.82
Weighted Ensemble (GPU),0.3051772200199668,0.4317397761431106,0.1354476601212662,15.702683172852879,0.8178508805363074,9.45
Stacked Ensemble (GPU base + CPU meta),0.2070121632677755,0.30134413283269273,0.09187878810032807,10.297642719550899,0.9112622459626126,10.13
